Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Sat Aug 19 20:47:54 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,203.0,0.0,266.2,266.2,65.5,18.1,0.364,34.0,100.0,266.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.3,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.771,3.808,3.804,3.771,3.808,3.804,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,13.0,2051.0,2051.0,0.0,4.369,4.99
Sat Aug 19 20:47:55 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,203.0,0.0,266.2,266.2,65.5,18.1,0.364,34.0,100.0,266.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.3,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.771,3.808,3.804,3.771,3.808,3.804,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,13.0,2051.0,2051.0,0.0,4.575,4.964
Sat Aug 19 20:47:56 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,203.0,0.0,266.3,266.3,65.5,18.1,0.364,34.0,100.0,266.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.3,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.771,3.808,3.804,3.771,3.808,3.804,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.9,2051.0,2051.0,0.0,4.662,4.938
Sat Aug 19 20:47:57 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,203.0,0.0,266.2,266.3,65.5,18.1,0.364,34.0,100.0,266.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.2,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.771,3.808,3.804,3.772,3.808,3.805,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.9,2053.0,2052.0,0.0,4.677,4.929
Sat Aug 19 20:47:58 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,203.0,0.0,266.2,266.3,65.5,18.1,0.364,34.0,100.0,266.29,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.2,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.771,3.808,3.804,3.771,3.808,3.804,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.9,2052.0,2051.0,0.0,4.747,4.912
Sat Aug 19 20:47:59 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,203.0,0.0,266.2,266.3,65.5,18.1,0.364,34.0,100.0,266.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.3,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.771,3.808,3.804,3.771,3.808,3.804,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.9,2051.0,2051.0,0.0,4.747,4.912
Sat Aug 19 20:48:00 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,203.0,0.0,266.3,266.2,65.5,18.1,0.364,34.0,100.0,266.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.3,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.771,3.808,3.804,3.771,3.808,3.804,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.9,2051.0,2051.0,0.0,4.747,4.912
Sat Aug 19 20:48:01 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,203.0,0.0,266.3,266.3,65.5,18.1,0.364,34.0,100.0,266.3,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.3,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.771,3.808,3.804,3.771,3.808,3.804,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.9,2051.0,2051.0,0.0,5.0,4.903
Sat Aug 19 20:48:02 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,203.0,0.0,266.2,266.2,65.5,18.1,0.364,34.0,100.0,266.28,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.3,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.771,3.808,3.804,3.771,3.808,3.804,5.2,5.2,5.2,32.0,51.0,19.0,51.0,1.0,1.0,12.9,2051.0,2051.0,0.0,5.0,4.903
Sat Aug 19 20:48:03 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,203.0,0.0,266.2,266.3,65.5,18.1,0.364,34.0,100.0,266.29,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,266.2,32.0,30.0,31.0,0.0,0.0,131.0,111.0,3.771,3.808,3.804,3.771,3.808,3.805,5.2,5.2,5.2,19.0,51.0,19.0,51.0,1.0,1.0,12.8,2053.0,2052.0,0.0,5.0,4.893
