Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Thu Aug 17 19:47:05 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,280.8,280.8,77.5,21.3,0.122,57.5,100.0,280.81,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.8,32.0,31.0,31.0,0.0,0.0,104.0,122.0,4.006,4.02,4.012,4.006,4.02,4.012,1.61,2.66,1.75,51.0,57.0,51.0,57.0,57.0,56.0,12.7,2051.0,2052.0,0.0,4.704,3.681
Thu Aug 17 19:47:06 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,280.8,280.8,77.5,21.3,0.122,57.5,100.0,280.81,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.8,32.0,31.0,31.0,0.0,0.0,104.0,122.0,4.006,4.02,4.012,4.006,4.02,4.012,1.61,2.66,1.75,51.0,57.0,51.0,57.0,57.0,56.0,12.7,2051.0,2052.0,0.0,4.704,3.681
Thu Aug 17 19:47:07 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,280.8,280.8,77.5,21.3,0.122,57.5,100.0,280.82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.8,32.0,31.0,31.0,0.0,0.0,104.0,122.0,4.006,4.02,4.012,4.006,4.02,4.012,1.61,2.66,1.75,51.0,57.0,51.0,57.0,57.0,56.0,12.7,2051.0,2052.0,0.0,4.718,3.682
Thu Aug 17 19:47:08 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,280.8,280.8,77.5,21.3,0.122,57.5,100.0,280.82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.8,32.0,31.0,31.0,0.0,0.0,104.0,122.0,4.006,4.02,4.012,4.006,4.02,4.012,1.61,2.66,1.75,51.0,57.0,51.0,57.0,57.0,56.0,12.8,2051.0,2052.0,0.0,4.72,3.682
Thu Aug 17 19:47:09 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,280.8,280.8,77.5,21.3,0.122,57.5,100.0,280.82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.8,32.0,31.0,31.0,0.0,0.0,104.0,122.0,4.006,4.02,4.012,4.006,4.02,4.012,1.61,2.66,1.75,51.0,57.0,51.0,57.0,57.0,56.0,12.8,2050.0,2052.0,0.0,4.72,3.682
Thu Aug 17 19:47:10 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,280.8,280.8,77.5,21.3,0.122,57.5,100.0,280.82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.8,32.0,31.0,31.0,0.0,0.0,104.0,122.0,4.006,4.02,4.012,4.006,4.02,4.012,1.61,2.66,1.75,51.0,57.0,51.0,57.0,57.0,56.0,12.8,2051.0,2052.0,0.0,4.72,3.682
Thu Aug 17 19:47:11 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,280.8,280.8,77.5,21.3,0.122,57.5,100.0,280.82,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.8,32.0,31.0,31.0,0.0,0.0,104.0,122.0,4.006,4.02,4.012,4.006,4.02,4.012,1.61,2.66,1.75,51.0,57.0,51.0,57.0,57.0,56.0,12.7,2051.0,2052.0,0.0,4.72,3.682
Thu Aug 17 19:47:12 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,280.8,280.8,77.5,21.3,0.122,57.5,100.0,280.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.8,32.0,31.0,31.0,0.0,0.0,104.0,122.0,4.006,4.02,4.012,4.006,4.02,4.012,1.61,2.66,1.75,51.0,57.0,51.0,57.0,57.0,56.0,12.7,2051.0,2052.0,0.0,4.72,3.682
Thu Aug 17 19:47:13 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,280.8,280.8,77.5,21.3,0.122,57.5,100.0,280.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.8,32.0,31.0,31.0,0.0,0.0,104.0,122.0,4.006,4.02,4.012,4.006,4.02,4.012,1.61,2.66,1.75,51.0,57.0,51.0,57.0,57.0,56.0,12.7,2051.0,2052.0,0.0,4.763,3.682
Thu Aug 17 19:47:14 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,315.0,0.0,280.8,280.8,77.5,21.3,0.122,57.5,100.0,280.83,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,280.8,32.0,31.0,31.0,0.0,0.0,104.0,122.0,4.006,4.02,4.012,4.006,4.02,4.012,1.61,2.66,1.75,51.0,57.0,51.0,57.0,57.0,56.0,12.7,2051.0,2052.0,0.0,4.747,3.682
