Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Sat Aug 19 17:35:06 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,210.0,0.0,269.0,269.0,68.5,18.8,0.363,31.0,100.0,269.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.0,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.807,3.846,3.843,3.807,3.846,3.843,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.2,2051.0,2052.0,0.0,4.376,4.99
Sat Aug 19 17:35:07 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,210.0,0.0,268.9,269.0,68.5,18.8,0.363,31.0,100.0,269.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.0,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.807,3.846,3.843,3.807,3.846,3.843,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.0,2054.0,2052.0,0.0,4.726,4.964
Sat Aug 19 17:35:08 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,210.0,0.0,269.0,269.0,68.5,18.8,0.363,31.0,100.0,269.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.0,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.807,3.846,3.843,3.807,3.846,3.843,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.2,2052.0,2052.0,0.0,4.726,4.964
Sat Aug 19 17:35:09 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,210.0,0.0,269.0,269.0,68.5,18.8,0.363,31.0,100.0,269.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.0,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.807,3.846,3.843,3.807,3.846,3.843,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.0,2051.0,2052.0,0.0,4.726,4.964
Sat Aug 19 17:35:10 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,210.0,0.0,269.0,269.0,68.5,18.8,0.363,31.0,100.0,269.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.0,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.807,3.846,3.843,3.807,3.846,3.843,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.1,2051.0,2051.0,0.0,4.726,4.964
Sat Aug 19 17:35:11 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,210.0,0.0,269.0,269.0,68.5,18.8,0.363,31.0,100.0,269.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.0,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.807,3.846,3.843,3.807,3.846,3.843,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.2,2051.0,2051.0,0.0,4.726,4.964
Sat Aug 19 17:35:12 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,210.0,0.0,269.0,269.0,68.5,18.8,0.363,31.0,100.0,269.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.0,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.807,3.846,3.843,3.807,3.846,3.843,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.2,2051.0,2051.0,0.0,4.726,4.964
Sat Aug 19 17:35:13 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,210.0,0.0,269.0,269.0,68.5,18.8,0.363,31.0,100.0,269.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.0,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.807,3.846,3.843,3.807,3.846,3.843,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.2,2050.0,2051.0,0.0,4.293,4.954
Sat Aug 19 17:35:14 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,210.0,0.0,269.0,269.0,68.5,18.8,0.363,31.0,100.0,269.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.0,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.807,3.846,3.843,3.807,3.846,3.843,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.2,2052.0,2051.0,0.0,4.474,4.926
Sat Aug 19 17:35:15 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,210.0,0.0,268.9,269.0,68.5,18.8,0.363,31.0,100.0,268.99,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.0,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.807,3.846,3.843,3.807,3.846,3.843,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.1,2054.0,2052.0,0.0,4.736,4.9
