Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Sat Aug 19 18:08:53 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,209.0,0.0,269.1,269.1,68.0,18.8,0.363,31.5,100.0,269.12,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.1,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.806,3.848,3.845,3.806,3.848,3.845,5.19,5.19,5.19,56.0,51.0,56.0,51.0,1.0,1.0,13.3,2051.0,2052.0,0.0,4.369,4.99
Sat Aug 19 18:08:54 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,209.0,0.0,269.1,269.1,68.0,18.8,0.363,31.5,100.0,269.11,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.1,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.806,3.848,3.844,3.806,3.848,3.845,5.19,5.19,5.19,56.0,51.0,56.0,51.0,1.0,1.0,13.2,2054.0,2052.0,0.0,4.521,4.972
Sat Aug 19 18:08:55 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,209.0,0.0,269.1,269.1,68.0,18.8,0.363,31.5,100.0,269.11,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.1,34.0,33.0,33.0,0.0,0.0,104.0,111.0,3.806,3.848,3.845,3.806,3.848,3.845,5.19,5.19,5.19,56.0,51.0,56.0,51.0,1.0,1.0,13.2,2052.0,2051.0,0.0,4.798,4.964
Sat Aug 19 18:08:56 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,209.0,0.0,269.1,269.1,68.0,18.8,0.363,31.5,100.0,269.11,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.1,34.0,33.0,33.0,0.0,0.0,104.0,111.0,3.806,3.848,3.845,3.806,3.848,3.845,5.19,5.19,5.19,56.0,51.0,56.0,51.0,1.0,1.0,13.2,2052.0,2051.0,0.0,4.798,4.964
Sat Aug 19 18:08:57 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,209.0,0.0,269.1,269.1,68.0,18.8,0.363,31.5,100.0,269.11,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.1,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.806,3.848,3.845,3.806,3.848,3.845,5.19,5.19,5.19,56.0,51.0,56.0,51.0,1.0,1.0,13.2,2051.0,2051.0,0.0,4.798,4.964
Sat Aug 19 18:08:58 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,209.0,0.0,269.1,269.1,68.0,18.8,0.363,31.5,100.0,269.11,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.1,34.0,33.0,33.0,0.0,0.0,104.0,111.0,3.806,3.848,3.845,3.806,3.848,3.845,5.19,5.19,5.19,56.0,51.0,56.0,51.0,1.0,1.0,13.2,2052.0,2051.0,0.0,4.798,4.964
Sat Aug 19 18:08:59 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,209.0,0.0,269.1,269.1,68.0,18.8,0.363,31.5,100.0,269.11,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.1,34.0,33.0,33.0,0.0,0.0,104.0,111.0,3.806,3.848,3.845,3.806,3.848,3.845,5.19,5.19,5.19,56.0,51.0,56.0,51.0,1.0,1.0,13.2,2052.0,2051.0,0.0,4.798,4.964
Sat Aug 19 18:09:00 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,209.0,0.0,269.1,269.1,68.0,18.8,0.363,31.5,100.0,269.12,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.1,34.0,33.0,33.0,0.0,0.0,104.0,111.0,3.806,3.848,3.845,3.806,3.848,3.845,5.19,5.19,5.19,56.0,51.0,56.0,51.0,1.0,1.0,13.2,2051.0,2051.0,0.0,4.798,4.964
Sat Aug 19 18:09:01 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,209.0,0.0,269.1,269.1,68.0,18.8,0.363,31.5,100.0,269.11,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.1,34.0,33.0,33.0,0.0,0.0,104.0,111.0,3.806,3.848,3.845,3.806,3.848,3.845,5.19,5.19,5.19,56.0,51.0,56.0,51.0,1.0,1.0,13.2,2052.0,2052.0,0.0,4.798,4.954
Sat Aug 19 18:09:02 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,209.0,0.0,269.1,269.1,68.0,18.8,0.363,31.5,100.0,269.11,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.1,34.0,33.0,33.0,0.0,0.0,104.0,111.0,3.806,3.848,3.845,3.806,3.848,3.845,5.19,5.19,5.19,56.0,51.0,56.0,51.0,1.0,1.0,13.2,2051.0,2051.0,0.0,4.443,4.925
