Time,Event Status,Is-Ready Power Status,Is-Charging Power Status,Multi-Purpose Input Status,Always-On Power Status,Errors Present,Charge-Enable Output Active,Discharge-Enable Output Active,Charger-Safety Output Active,HEM mode,Maximum cell number,Pack charge current limit,Pack discharge current limit,Pack amperage (current),Pack voltage,Pack open voltage,Pack state of charge,Pack amphours,Pack resistance,Pack depth of discharge,Pack state of health,Summed pack voltage,Total pack cycles,DCL Reduced Due To SOC,DCL Reduced Due To Cell Resistance,DCL Reduced Due To Temperature,DCL Reduced Due To Cell Voltage,DCL Reduced Due To Pack Voltage,Reduced Due To Voltage Failsafe,Multi-Unit Comm Failsafe,CCL Reduced Due To SOC,CCL Reduced Due To Cell Resistance,CCL Reduced Due To Temperature,CCL Reduced Due To Cell Voltage,CCL Reduced Due To Pack Voltage,CCL Zero Because Charge Complete,Simulated pack SOC,Battery mode,Requested battery mode,TP ADC,Highest battery temperature,Lowest battery temperature,Average battery temperature,Actual fan speed (0-6),Requested fan speed (0-6),Highest thermistor ID,Lowest thermistor ID,Lowest cell voltage,Highest cell voltage,Average cell voltage,Lowest open cell voltage,Highest open cell voltage,Average open cell voltage,Lowest cell resistance,Highest cell resistance,Average cell resistance,Highest cell voltage ID,Lowest cell voltage ID,Highest opencell ID,Lowest opencell ID,Highest resistance ID,Lowest resistance ID,12v supply (lower than actual),Current sensor ADC #1,Current sensor ADC #2,Voltage from fan sensor,Shortest Wave (Isolation),Average Wave (Isolation)
Sat Aug 19 17:27:33 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,211.0,0.0,269.5,269.5,69.0,18.9,0.363,30.5,100.0,269.59,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.5,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.818,3.854,3.851,3.818,3.854,3.851,5.19,5.19,5.19,19.0,51.0,56.0,51.0,1.0,1.0,13.5,2050.0,2051.0,0.0,4.371,4.99
Sat Aug 19 17:27:34 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,211.0,0.0,269.5,269.5,69.0,18.9,0.363,30.5,100.0,269.59,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.5,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.818,3.854,3.851,3.818,3.854,3.851,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.5,2051.0,2051.0,0.0,4.57,4.964
Sat Aug 19 17:27:35 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,211.0,0.0,269.5,269.6,69.0,18.9,0.363,30.5,100.0,269.59,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.5,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.818,3.854,3.851,3.818,3.854,3.851,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.5,2054.0,2052.0,0.0,4.64,4.946
Sat Aug 19 17:27:36 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,211.0,0.0,269.5,269.6,69.0,18.9,0.363,30.5,100.0,269.59,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.5,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.818,3.854,3.851,3.818,3.854,3.851,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.4,2052.0,2052.0,0.0,4.64,4.946
Sat Aug 19 17:27:37 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,211.0,0.0,269.5,269.5,69.0,18.9,0.363,30.5,100.0,269.59,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.5,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.818,3.854,3.851,3.818,3.854,3.852,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.2,2050.0,2051.0,0.0,4.771,4.938
Sat Aug 19 17:27:38 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,211.0,0.0,269.5,269.5,69.0,18.9,0.363,30.5,100.0,269.59,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.5,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.818,3.854,3.851,3.818,3.854,3.851,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.4,2050.0,2051.0,0.0,4.771,4.938
Sat Aug 19 17:27:39 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,211.0,0.0,269.5,269.5,69.0,18.9,0.363,30.5,100.0,269.59,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.5,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.818,3.854,3.851,3.818,3.854,3.851,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.4,2050.0,2051.0,0.0,4.771,4.938
Sat Aug 19 17:27:40 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,211.0,0.0,269.5,269.5,69.0,18.9,0.363,30.5,100.0,269.59,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.5,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.818,3.854,3.851,3.818,3.854,3.851,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.4,2050.0,2051.0,0.0,4.771,4.938
Sat Aug 19 17:27:41 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,211.0,0.0,269.5,269.5,69.0,18.9,0.363,30.5,100.0,269.59,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.5,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.818,3.854,3.851,3.818,3.854,3.851,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.4,2051.0,2051.0,0.0,4.771,4.938
Sat Aug 19 17:27:42 KST 2023,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,72.0,44.0,211.0,0.0,269.5,269.5,69.0,18.9,0.363,30.5,100.0,269.59,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,8.0,269.5,34.0,33.0,33.0,0.0,0.0,104.0,131.0,3.818,3.854,3.851,3.818,3.854,3.851,5.19,5.19,5.19,19.0,51.0,19.0,51.0,1.0,1.0,13.4,2050.0,2051.0,0.0,4.43,4.909
